OpenMP,1,1000000,2000,1025800,1.000
OpenMP,2,500000,2000,788877,1.300
OpenMP,4,250000,2000,794079,1.292
OpenMP,8,125000,2000,840946,1.220
OpenMP,1,1000000,4000,1986516,1.000
OpenMP,2,500000,4000,1536097,1.293
OpenMP,4,250000,4000,1554317,1.278
OpenMP,8,125000,4000,1663107,1.194
OpenMP,1,1000000,8000,4212556,1.000
OpenMP,2,500000,8000,3132075,1.345
OpenMP,4,250000,8000,3118960,1.351
OpenMP,8,125000,8000,3382015,1.246
OpenMP,1,2000000,2000,2335393,1.000
OpenMP,2,1000000,2000,1989115,1.174
OpenMP,4,500000,2000,1966248,1.188
OpenMP,8,250000,2000,2160943,1.081
OpenMP,1,2000000,4000,4662180,1.000
OpenMP,2,1000000,4000,4039850,1.154
OpenMP,4,500000,4000,3926154,1.187
OpenMP,8,250000,4000,4717229,0.988
OpenMP,1,2000000,8000,9851710,1.000
OpenMP,2,1000000,8000,7891372,1.248
OpenMP,4,500000,8000,7845657,1.256
OpenMP,8,250000,8000,8675193,1.136
